time_us,reduced_photon_number,full_meanfield_photon_number
6.109999999999999432e+00,6.866439364519811761e+01,6.866148694455516477e+01
6.114999999999999325e+00,6.955408829675093330e+01,6.955078902018210840e+01
6.119999999999999218e+00,7.087277654501261281e+01,7.086908941673590334e+01
6.124999999999999112e+00,7.260745966535041873e+01,7.260338753388768396e+01
6.129999999999999005e+00,7.474938771126380743e+01,7.474493026473815860e+01
6.134999999999998899e+00,7.729359572482562157e+01,7.728874687061677662e+01
6.139999999999998792e+00,8.023852629352096244e+01,8.023327415449877265e+01
6.144999999999998685e+00,8.358572908431452220e+01,8.358005870273325399e+01
6.149999999999998579e+00,8.733963067736451080e+01,8.733352577913468906e+01
6.154999999999999361e+00,9.150736452564346735e+01,9.150080903775460683e+01
6.159999999999999254e+00,9.609865239167507411e+01,9.609163154835191278e+01
6.164999999999999147e+00,1.011257292784028721e+02,1.011182284574332044e+02
6.169999999999999041e+00,1.066033059547823427e+02,1.065952963613648734e+02
6.174999999999998934e+00,1.125485579436150232e+02,1.125400074549449272e+02
6.179999999999999716e+00,1.189811367480809139e+02,1.189720134038303456e+02
6.184999999999999609e+00,1.259231959774816403e+02,1.259134681402767626e+02
6.189999999999999503e+00,1.333994277142815577e+02,1.333890628341126785e+02
6.194999999999999396e+00,1.414371001382523332e+02,1.414260634666483725e+02
6.199999999999999289e+00,1.500660921473227347e+02,1.500543404769609310e+02
6.204999999999999183e+00,1.593189193807921527e+02,1.593064005181746552e+02
6.209999999999999076e+00,1.692307440578712772e+02,1.692173959736427094e+02
6.214999999999998970e+00,1.798393610617409877e+02,1.798251234305245134e+02
6.219999999999998863e+00,1.911851525096813020e+02,1.911699337591523715e+02
6.224999999999998757e+00,2.033110051541866028e+02,2.032947488823591584e+02
6.229999999999998650e+00,2.162621697841884441e+02,2.162447785851789774e+02
6.234999999999998543e+00,2.300860660605769965e+02,2.300674623351840182e+02
6.239999999999998437e+00,2.448320133143229214e+02,2.448121360168770480e+02
6.244999999999999218e+00,2.605508685922349628e+02,2.605296476824796059e+02
6.249999999999999112e+00,2.772945579797788582e+02,2.772719548024930418e+02
6.254999999999999005e+00,2.951154889277543134e+02,2.950914470448543625e+02
6.259999999999999787e+00,3.140658209769389941e+02,3.140402680016753152e+02
6.264999999999999680e+00,3.341965696637022347e+02,3.341693943769587918e+02
6.269999999999999574e+00,3.555565302070942835e+02,3.555276842443873875e+02
6.274999999999999467e+00,3.781909952103491719e+02,3.781604290927716647e+02
6.279999999999999361e+00,4.021402478820475039e+02,4.021078947775619667e+02
6.284999999999999254e+00,4.274378133173828473e+02,4.274036913197533067e+02
6.289999999999999147e+00,4.541084501239590736e+02,4.540725972412795386e+02
6.294999999999999041e+00,4.821658791163264937e+02,4.821283269456995981e+02
6.299999999999998934e+00,5.116102473080959498e+02,5.115710382678593078e+02
6.304999999999998828e+00,5.424253390141395812e+02,5.423845427540635455e+02
6.309999999999998721e+00,5.745755593577267746e+02,5.745332798025290231e+02
6.314999999999998614e+00,6.080027392276673481e+02,6.079591521186498539e+02
6.319999999999998508e+00,6.426228245361951394e+02,6.425781542653458018e+02
6.324999999999998401e+00,6.783225496741763436e+02,6.782770859059938857e+02
6.329999999999998295e+00,7.149562086369479630e+02,7.149103188017464845e+02
6.334999999999999076e+00,7.523426789845384519e+02,7.522968992709069198e+02
6.339999999999999858e+00,7.902628875016616803e+02,7.902177969006652347e+02
6.344999999999999751e+00,8.284579467136927633e+02,8.284140521606328775e+02
6.349999999999999645e+00,8.666281489589999865e+02,8.665857932889229005e+02
6.354999999999999538e+00,9.044331072645168206e+02,9.043927201982565975e+02
6.359999999999999432e+00,9.414933071086973086e+02,9.414554430711059467e+02
6.364999999999999325e+00,9.773932618209320253e+02,9.773585157626688442e+02
6.369999999999999218e+00,1.011686497331680016e+03,1.011655434624131317e+03
6.374999999999999112e+00,1.043902503583237149e+03,1.043875597980625116e+03
6.379999999999999005e+00,1.073555682622079530e+03,1.073533366765613209e+03
6.384999999999998899e+00,1.100156238953274851e+03,1.100138961680772582e+03
6.389999999999998792e+00,1.123222791888982101e+03,1.123210989254099104e+03
6.394999999999998685e+00,1.142296386273386815e+03,1.142290382237777749e+03
6.399999999999998579e+00,1.156955379712512240e+03,1.156955392148353667e+03
6.404999999999998472e+00,1.166830570706702247e+03,1.166836689930552438e+03
6.409999999999998366e+00,1.171619830225364240e+03,1.171631969179016778e+03
6.414999999999999147e+00,1.171101427536074652e+03,1.171119337690838847e+03
6.419999999999999041e+00,1.165145204219533070e+03,1.165168546309650765e+03
6.424999999999999822e+00,1.153720881831478891e+03,1.153749272733822409e+03
6.429999999999999716e+00,1.136902848952945988e+03,1.136936038027731229e+03
6.434999999999999609e+00,1.114870965367150802e+03,1.114908933453077225e+03
6.439999999999999503e+00,1.087907217883496514e+03,1.087949584893171959e+03
6.444999999999999396e+00,1.056388267706586248e+03,1.056434435232799160e+03
6.449999999999999289e+00,1.020774224458249023e+03,1.020823661351503347e+03
6.454999999999999183e+00,9.815942273653300845e+02,9.816463856107176298e+02
6.459999999999999076e+00,9.394296409091214173e+02,9.394839011553669934e+02
6.464999999999998970e+00,8.948957451943381329e+02,8.949514997049114982e+02
6.469999999999998863e+00,8.486229314615763997e+02,8.486796031488821654e+02
6.474999999999998757e+00,8.012383554933884398e+02,8.012953634179667688e+02
6.479999999999998650e+00,7.533489117243906321e+02,7.534056612043834775e+02
6.484999999999998543e+00,7.055262572726534245e+02,7.055822082862707703e+02
6.489999999999998437e+00,6.582944307622610722e+02,6.583490687859086847e+02
6.494999999999999218e+00,6.121203543516702439e+02,6.121732082648604774e+02
6.499999999999999112e+00,5.674073937495442124e+02,5.674580407955555756e+02
6.504999999999999005e+00,5.244918758087947026e+02,5.245399468710883184e+02
6.509999999999998899e+00,4.836423609452892265e+02,4.836875656466180544e+02
6.514999999999999680e+00,4.450613176516368412e+02,4.451034747957623949e+02
6.519999999999999574e+00,4.088888040731759475e+02,4.089278028344668883e+02
6.524999999999999467e+00,3.752076745060552412e+02,3.752434610580254457e+02
6.529999999999999361e+00,3.440498772081602397e+02,3.440824597429983100e+02
6.534999999999999254e+00,3.154033989177145259e+02,3.154328238556332167e+02
6.539999999999999147e+00,2.892194732814144800e+02,2.892458191047335276e+02
6.544999999999999041e+00,2.654197244108723908e+02,2.654431161817957445e+02
6.549999999999998934e+00,2.439029883215677330e+02,2.439235843038065923e+02
6.554999999999998828e+00,2.245516128035138195e+02,2.245695807007554947e+02
6.559999999999998721e+00,2.072371033782101790e+02,2.072526265384126987e+02
6.564999999999998614e+00,1.918250370726428571e+02,1.918383094502994197e+02
6.569999999999998508e+00,1.781792205035000336e+02,1.781904390104090794e+02
6.574999999999999289e+00,1.661650942472419956e+02,1.661744512276723924e+02
6.579999999999999183e+00,1.556524253861708758e+02,1.556601007657222908e+02
6.584999999999999076e+00,1.465173459725518796e+02,1.465235049765298356e+02
6.589999999999998970e+00,1.386438107882192128e+02,1.386486043184461039e+02
6.594999999999998863e+00,1.319245515763193168e+02,1.319281117794438956e+02
6.599999999999998757e+00,1.262616086426064896e+02,1.262640518649439514e+02
6.604999999999999538e+00,1.215665215518651792e+02,1.215679552564417634e+02
6.609999999999999432e+00,1.177602460303007632e+02,1.177607681756662572e+02
6.614999999999999325e+00,1.147728681281051450e+02,1.147725602771343176e+02
6.619999999999999218e+00,1.125431736290682920e+02,1.125421009392320002e+02
6.624999999999999112e+00,1.110181185522659888e+02,1.110163322567781705e+02
6.629999999999999005e+00,1.101522461244550612e+02,1.101497944994630984e+02
6.634999999999998899e+00,1.099070820533628847e+02,1.099040117034749642e+02
6.639999999999998792e+00,1.102505327581242938e+02,1.102468827761099988e+02
6.644999999999998685e+00,1.111563072801705232e+02,1.111521032281734733e+02
6.649999999999998579e+00,1.126033763328558734e+02,1.125986308340258262e+02
6.654999999999999361e+00,1.145754757230795775e+02,1.145701996471874367e+02
6.659999999999999254e+00,1.170606606652770267e+02,1.170548608718883372e+02
6.664999999999999147e+00,1.200509132809359301e+02,1.200445909929540846e+02
6.669999999999999041e+00,1.235417989331702273e+02,1.235349490562004036e+02
6.674999999999998934e+00,1.275321728164640120e+02,1.275247861553498296e+02
6.679999999999998828e+00,1.320239289718181226e+02,1.320159877021111186e+02
6.684999999999998721e+00,1.370217900689710291e+02,1.370132735978633320e+02
6.689999999999998614e+00,1.425331290434916980e+02,1.425240202762178114e+02
6.694999999999999396e+00,1.485678188154001873e+02,1.485581005717412779e+02
6.699999999999999289e+00,1.551381029643005149e+02,1.551277609562361306e+02
6.704999999999999183e+00,1.622584805672545940e+02,1.622474787323535850e+02
6.709999999999999076e+00,1.699455985593355649e+02,1.699339028585260962e+02
6.714999999999998970e+00,1.782181445305344596e+02,1.782057190995603264e+02
6.719999999999998863e+00,1.870967353213104616e+02,1.870835423734062886e+02
6.724999999999998757e+00,1.966037926339283786e+02,1.965897991072872912e+02
6.729999999999998650e+00,2.067633981643970174e+02,2.067485668711807989e+02
6.734999999999999432e+00,2.176011228668644151e+02,2.175854066461322418e+02
6.739999999999999325e+00,2.291438185882165612e+02,2.291271789955034137e+02
6.744999999999999218e+00,2.414193676704984455e+02,2.414017475422956522e+02
6.749999999999999112e+00,2.544563855193816266e+02,2.544377340296565535e+02
6.754999999999999005e+00,2.682838581840328516e+02,2.682641422929853547e+02
